PRD_NBR,PRC_STR_GRP_ID_S,DC_NBR,TOT_SLS_UN_QTY
119551051,705,14,627
119551051,705,17,5636
119551051,707,17,1104
119551051,715,14,521
119551051,715,17,973
119551051,718,14,702
119551051,718,17,88
119551051,735,14,139
119551051,735,17,412
119570131,677,14,363
119570131,677,17,407
119570131,677,18,2987
119570131,682,14,1279
119570131,682,17,102
119570131,682,18,58
119570131,688,17,52
119570131,688,18,38
119570131,691,14,1217
119570131,691,17,1564
119570131,691,18,234
119570131,698,17,117
119570131,698,18,211
119570131,703,14,33
119570131,703,17,1407
119570131,703,18,94
119570131,704,14,599
119570131,704,17,522
119570131,705,14,43
119570131,705,17,520
119570131,707,17,379
119570131,708,14,96
119570131,708,17,215
119570131,708,18,179
119570131,709,17,104
119570131,715,14,28
119570131,715,17,47
119570131,718,14,107
119570131,718,17,97
119570131,735,14,82
119570131,735,17,202
119570131,736,17,656
119570131,736,18,2067
119570131,737,14,169
119570131,737,17,487
119570131,737,18,558
119570141,677,14,397
119570141,677,17,606
119570141,677,18,4616
119570141,682,14,1660
119570141,682,17,150
119570141,682,18,100
119570141,688,17,98
119570141,688,18,108
119570141,691,14,1922
119570141,691,17,2917
119570141,691,18,454
119570141,698,17,263
119570141,698,18,342
119570141,703,14,97
119570141,703,17,2253
119570141,703,18,189
119570141,704,14,1012
119570141,704,17,1182
119570141,705,14,80
119570141,705,17,1554
119570141,707,17,900
119570141,708,14,156
119570141,708,17,457
119570141,708,18,483
119570141,709,17,181
119570141,715,14,61
119570141,715,17,213
119570141,718,14,270
119570141,718,17,159
119570141,735,14,150
119570141,735,17,206
119570141,736,17,1149
119570141,736,18,3406
119570141,737,14,234
119570141,737,17,815
119570141,737,18,969
119570151,677,14,103
119570151,677,17,209
119570151,677,18,1527
119570151,682,14,465
119570151,682,17,43
119570151,682,18,44
119570151,688,17,63
119570151,688,18,38
119570151,691,14,313
119570151,691,17,946
119570151,691,18,173
119570151,698,17,88
119570151,698,18,95
119570151,703,14,15
119570151,703,17,739
119570151,703,18,67
119570151,704,14,153
119570151,704,17,343
119570151,705,14,13
119570151,705,17,424
119570151,707,17,276
119570151,708,14,47
119570151,708,17,153
119570151,708,18,105
119570151,709,17,51
119570151,715,14,13
119570151,715,17,67
119570151,718,14,67
119570151,718,17,56
119570151,735,14,23
119570151,735,17,54
119570151,736,17,331
119570151,736,18,1079
119570151,737,14,47
119570151,737,17,253
119570151,737,18,374
119570161,737,14,109
119570161,737,17,417
119570161,737,18,491
119570161,677,14,175
119570161,677,17,326
119570161,677,18,2028
119570161,682,14,748
119570161,682,17,96
119570161,682,18,76
119570161,688,17,63
119570161,688,18,67
119570161,691,14,645
119570161,691,17,1292
119570161,691,18,176
119570161,698,17,171
119570161,698,18,171
119570161,703,14,27
