PGM_GRP_ID_S,PERIOD,prc_lb,prc_ub
70513,99,4.49,25.45
69163,1,14.78,36.94
69163,2,14.78,36.94
69163,3,14.78,36.94
69163,4,14.78,36.94
69163,99,5.54,31.4
70515,1,11.98,29.94
70515,2,11.98,29.94
70515,3,11.98,29.94
70515,4,11.98,29.94
70515,99,4.49,25.45
2219,1,4.38,10.94
2219,2,4.38,10.94
2219,3,4.38,10.94
2219,99,1.64,9.3
2347,1,0.58,1.45
2347,2,0.58,1.45
2347,99,0.22,1.23
71153,1,5.18,12.94
71153,2,5.18,12.94
71153,99,1.94,11
72245,1,7.98,19.94
72245,2,7.98,19.94
72245,3,7.98,19.94
72245,4,7.98,19.94
72245,99,2.99,16.95
1211,1,7.8,19.5
1211,2,7.8,19.5
1211,3,7.8,19.5
1211,4,7.8,19.5
70027,1,5.98,14.94
70027,2,5.98,14.94
70027,3,5.98,14.94
70027,4,5.98,14.94
70027,99,2.24,12.7
481,1,13.98,34.94
481,2,13.98,34.94
481,3,13.98,34.94
481,4,13.98,34.94
481,99,5.24,29.7
69243,1,9.98,24.94
69243,2,9.98,24.94
69243,3,9.98,24.94
69243,4,9.98,24.94
68773,1,7.98,19.94
68773,2,7.98,19.94
68773,3,7.98,19.94
68773,4,7.98,19.94
69731,1,10.78,26.94
69731,2,10.78,26.94
69731,3,10.78,26.94
69731,4,10.78,26.94
69241,1,5.18,12.94
69241,2,5.18,12.94
69241,3,5.18,12.94
69241,4,5.18,12.94
69241,99,1.94,11
10071,1,3.98,9.94
10071,2,3.98,9.94
10071,3,3.98,9.94
10071,4,3.98,9.94
2347,3,0.58,1.45
2347,4,0.58,1.45
71929,1,6.78,16.94
71929,2,6.78,16.94
71929,3,6.78,16.94
71929,4,6.78,16.94
71929,99,2.54,14.4
10227,1,7.98,19.94
10227,2,7.98,19.94
10227,3,7.98,19.94
10227,4,7.98,19.94
10227,99,2.99,16.95
10005,1,3.58,8.94
10005,2,3.58,8.94
10005,3,3.58,8.94
10005,4,3.58,8.94
10005,99,1.34,7.6
943,1,5.98,14.94
943,2,5.98,14.94
943,3,5.98,14.94
943,99,2.24,12.7
70283,1,3.98,9.94
70283,2,3.98,9.94
70283,3,3.98,9.94
70283,4,3.98,9.94
70283,99,1.49,8.45
71585,1,9.18,22.94
71585,2,9.18,22.94
71585,3,9.18,22.94
71585,4,9.18,22.94
71585,99,3.44,19.5
71587,1,9.98,24.94
71587,2,9.98,24.94
71587,3,9.98,24.94
71587,4,9.98,24.94
71587,99,3.74,21.2
70273,1,14.78,36.94
70273,2,14.78,36.94
70273,99,5.54,31.4
70273,3,14.78,36.94
70273,4,14.78,36.94
70817,1,5.98,14.94
70817,2,5.98,14.94
70817,3,5.98,14.94
70817,99,2.24,12.7
69143,1,11.98,29.94
69143,2,11.98,29.94
68667,1,13.8,34.5
68667,2,13.8,34.5
68667,99,5.18,29.33
50695,1,6.78,16.94
50695,2,6.78,16.94
50695,99,2.54,14.4
71589,1,11.98,29.94
71589,2,11.98,29.94
71589,3,11.98,29.94
71589,4,11.98,29.94
71589,99,4.49,25.45
849,1,7.98,19.94
849,2,7.98,19.94
849,3,7.98,19.94
849,4,7.98,19.94
849,99,2.99,16.95
2599,1,5.18,12.94
2599,2,5.18,12.94
2599,99,1.94,11
2591,1,1.98,4.94
2591,2,1.98,4.94
2591,3,1.98,4.94
2591,4,1.98,4.94
2591,99,0.74,4.2
50883,1,6.78,16.94
50883,2,6.78,16.94
50883,3,6.78,16.94
50883,99,2.54,14.4
1007,99,1.94,11
69463,1,3.98,9.94
69463,2,3.98,9.94
69463,3,3.98,9.94
69463,4,3.98,9.94
69463,99,1.49,8.45
10303,1,9.18,22.94
10303,2,9.18,22.94
10303,99,3.44,19.5
71191,1,5.18,12.94
71191,2,5.18,12.94
71191,99,1.94,11
72273,1,5.98,14.94
72273,2,5.98,14.94
72273,99,2.24,12.7
577,1,5.18,12.94
577,2,5.18,12.94
577,3,5.18,12.94
577,4,5.18,12.94
577,99,1.94,11
2793,1,5.18,12.94
2793,2,5.18,12.94
2793,3,5.18,12.94
2793,4,5.18,12.94
70125,1,5.98,14.94
