PERIOD,PGM_GRP_ID_S,TGT_SELL_THRUT_RAT,MIN_SELL_THRU_RAT,MAX_SELL_THRU_RAT
4,2201,0.933,0.100,0.010
99,2201,0.990,0.010,0.010
2,2219,0.860,0.150,0.010
3,2219,0.860,0.150,0.010
99,2219,0.990,0.010,0.010
2,2223,0.724,0.362,0.010
3,2223,0.766,0.293,0.010
4,2223,0.866,0.342,0.010
99,2223,0.990,0.010,0.010
2,2224,0.855,0.150,0.010
3,2224,0.861,0.150,0.010
4,2224,0.853,0.100,0.010
99,2224,0.990,0.010,0.010
2,2226,0.999,0.150,0.010
3,2226,0.999,0.150,0.010
4,2226,0.999,0.100,0.010
99,2226,0.990,0.010,0.010
2,2246,0.793,0.150,0.010
3,2246,0.655,0.150,0.010
4,2246,0.661,0.100,0.010
99,2246,0.990,0.010,0.010
2,2263,0.752,0.150,0.010
3,2263,0.792,0.150,0.010
4,2263,0.920,0.100,0.010
99,2263,0.990,0.010,0.010
2,2275,0.620,0.150,0.010
3,2275,0.412,0.150,0.010
4,2275,0.836,0.100,0.010
2,2277,0.649,0.150,0.010
3,2277,0.520,0.150,0.010
4,2277,0.549,0.100,0.010
99,2277,0.990,0.010,0.010
2,2287,0.737,0.150,0.010
3,2287,0.768,0.150,0.010
4,2287,0.890,0.100,0.010
99,2287,0.990,0.010,0.010
2,2304,0.536,0.150,0.010
99,2304,0.990,0.010,0.010
2,2310,0.618,0.150,0.010
99,2310,0.990,0.010,0.010
2,2347,0.662,0.150,0.010
3,2347,0.658,0.150,0.010
4,2347,0.728,0.162,0.010
99,2347,0.990,0.010,0.010
2,2351,0.606,0.150,0.010
3,2351,0.618,0.150,0.010
4,2351,0.887,0.100,0.010
2,2353,0.804,0.150,0.010
3,2353,0.821,0.150,0.010
4,2353,0.901,0.100,0.010
99,2353,0.990,0.010,0.010
2,2357,0.554,0.150,0.010
99,2357,0.990,0.010,0.010
2,2392,0.995,0.150,0.010
3,2392,0.997,0.150,0.010
4,2392,0.998,0.100,0.010
99,2392,0.990,0.010,0.010
2,2411,0.816,0.281,0.010
3,2411,0.809,0.205,0.010
4,2411,0.828,0.145,0.010
99,2411,0.990,0.010,0.010
2,2421,0.691,0.150,0.010
3,2421,0.639,0.150,0.010
4,2421,0.877,0.100,0.010
99,2421,0.990,0.010,0.010
2,2422,0.659,0.150,0.010
3,2422,0.666,0.150,0.010
4,2422,0.768,0.100,0.010
2,2431,0.829,0.150,0.010
3,2431,0.829,0.150,0.010
99,2431,0.990,0.010,0.010
2,2478,0.766,0.150,0.010
3,2478,0.802,0.150,0.010
4,2478,0.904,0.100,0.010
99,2478,0.990,0.010,0.010
2,2485,0.610,0.150,0.010
99,2485,0.990,0.010,0.010
2,2590,0.644,0.150,0.010
3,2590,0.696,0.150,0.010
4,2590,0.762,0.100,0.010
99,2590,0.990,0.010,0.010
2,2591,0.957,0.178,0.010
3,2591,0.971,0.150,0.010
4,2591,0.979,0.103,0.010
99,2591,0.990,0.010,0.010
2,2599,0.760,0.150,0.010
99,2599,0.990,0.010,0.010
2,2612,0.849,0.150,0.010
3,2612,0.840,0.150,0.010
4,2612,0.895,0.361,0.010
99,2612,0.990,0.010,0.010
2,2622,0.259,0.150,0.010
3,2622,0.316,0.150,0.010
4,2622,0.971,0.100,0.010
2,2625,0.613,0.150,0.010
3,2625,0.589,0.150,0.010
4,2625,0.785,0.100,0.010
2,2626,0.786,0.150,0.010
3,2626,0.822,0.150,0.010
4,2626,0.915,0.100,0.010
99,2626,0.990,0.010,0.010
2,2633,0.619,0.150,0.010
3,2633,0.637,0.150,0.010
4,2633,0.713,0.100,0.010
99,2633,0.990,0.010,0.010
2,2655,0.798,0.245,0.010
3,2655,0.826,0.218,0.010
4,2655,0.859,0.191,0.010
99,2655,0.990,0.010,0.010
2,2698,0.520,0.226,0.010
3,2698,0.527,0.194,0.010
4,2698,0.376,0.100,0.010
99,2698,0.990,0.010,0.010
2,2721,0.844,0.150,0.010
3,2721,0.873,0.150,0.010
4,2721,0.938,0.100,0.010
2,2730,0.725,0.150,0.010
3,2730,0.781,0.150,0.010
4,2730,0.843,0.100,0.010
99,2730,0.990,0.010,0.010
2,2740,0.688,0.150,0.010
3,2740,0.597,0.150,0.010
4,2740,0.610,0.100,0.010
99,2740,0.990,0.010,0.010
2,2749,0.812,0.150,0.010
3,2749,0.830,0.150,0.010
4,2749,0.850,0.100,0.010
99,2749,0.990,0.010,0.010
2,2756,0.797,0.150,0.010
3,2756,0.819,0.150,0.010
4,2756,0.968,0.100,0.010
2,2763,0.759,0.150,0.010
3,2763,0.759,0.150,0.010
99,2763,0.990,0.010,0.010
2,2793,0.856,0.150,0.010
3,2793,0.861,0.150,0.010
4,2793,1.000,0.100,0.010
2,2797,0.799,0.263,0.010
3,2797,0.818,0.224,0.010
4,2797,0.840,0.182,0.010
99,2797,0.990,0.010,0.010
2,2818,0.698,0.150,0.010
3,2818,0.739,0.150,0.010
4,2818,0.793,0.100,0.010
99,2818,0.990,0.010,0.010
2,2821,0.853,0.150,0.010
3,2821,0.898,0.150,0.010
4,2821,0.938,0.100,0.010
99,2821,0.990,0.010,0.010
2,2836,0.779,0.150,0.010
99,2836,0.990,0.010,0.010
2,2848,0.648,0.150,0.010
3,2848,0.700,0.150,0.010
4,2848,0.856,0.152,0.010
99,2848,0.990,0.010,0.010
2,2869,0.718,0.150,0.010
2,10005,0.638,0.383,0.010
3,10005,0.675,0.378,0.010
4,10005,0.721,0.367,0.010
99,10005,0.990,0.010,0.010
2,10008,0.679,0.150,0.010
3,10008,0.695,0.150,0.010
4,10008,0.919,0.100,0.010
2,10016,0.899,0.290,0.010
3,10016,0.915,0.269,0.010
4,10016,0.972,0.134,0.010
99,10016,0.990,0.010,0.010
2,10017,0.690,0.167,0.010
3,10017,0.606,0.150,0.010
4,10017,0.625,0.160,0.010
99,10017,0.990,0.010,0.010
2,10021,0.761,0.197,0.010
3,10021,0.777,0.186,0.010
4,10021,0.781,0.166,0.010
99,10021,0.990,0.010,0.010
2,10028,0.692,0.150,0.010
3,10028,0.688,0.150,0.010
4,10028,0.875,0.100,0.010
2,10043,0.779,0.150,0.010
3,10043,0.784,0.150,0.010
4,10043,0.809,0.100,0.010
99,10043,0.990,0.010,0.010
2,10054,0.738,0.150,0.010
3,10054,0.790,0.150,0.010
4,10054,0.841,0.100,0.010
99,10054,0.990,0.010,0.010
2,10065,0.888,0.150,0.010
3,10065,0.920,0.150,0.010
4,10065,0.941,0.100,0.010
99,10065,0.990,0.010,0.010
2,10066,0.767,0.150,0.010
3,10066,0.792,0.150,0.010
4,10066,0.867,0.100,0.010
99,10066,0.990,0.010,0.010
2,10070,0.695,0.292,0.010
3,10070,0.693,0.268,0.010
4,10070,0.937,0.436,0.010
99,10070,0.990,0.010,0.010
2,10071,0.802,0.150,0.010
3,10071,0.738,0.150,0.010
4,10071,0.901,0.100,0.010
2,10072,0.807,0.150,0.010
3,10072,0.823,0.150,0.010
4,10072,0.904,0.100,0.010
99,10072,0.990,0.010,0.010
2,10076,0.767,0.293,0.010
3,10076,0.780,0.209,0.010
4,10076,0.866,0.249,0.010
99,10076,0.990,0.010,0.010
2,10084,0.751,0.150,0.010
3,10084,0.775,0.150,0.010
4,10084,0.797,0.100,0.010
99,10084,0.990,0.010,0.010
2,10091,0.738,0.150,0.010
3,10091,0.767,0.150,0.010
4,10091,0.844,0.261,0.010
99,10091,0.990,0.010,0.010
2,10093,0.565,0.264,0.010
3,10093,0.358,0.150,0.010
4,10093,0.558,0.100,0.010
99,10093,0.990,0.010,0.010
2,10094,0.753,0.150,0.010
3,10094,0.772,0.150,0.010
4,10094,0.855,0.100,0.010
99,10094,0.990,0.010,0.010
2,10095,0.842,0.150,0.010
3,10095,0.872,0.150,0.010
4,10095,0.976,0.100,0.010
99,10095,0.990,0.010,0.010
2,10118,0.837,0.150,0.010
3,10118,0.829,0.150,0.010
4,10118,0.844,0.103,0.010
99,10118,0.990,0.010,0.010
2,10121,0.715,0.150,0.010
99,10121,0.990,0.010,0.010
2,10126,0.780,0.150,0.010
3,10126,0.775,0.150,0.010
4,10126,0.903,0.100,0.010
2,10178,0.729,0.150,0.010
3,10178,0.729,0.150,0.010
99,10178,0.990,0.010,0.010
2,10187,0.716,0.150,0.010
3,10187,0.721,0.150,0.010
4,10187,0.832,0.100,0.010
2,10197,0.769,0.150,0.010
3,10197,0.811,0.150,0.010
4,10197,0.871,0.236,0.010
99,10197,0.990,0.010,0.010
2,10198,0.666,0.150,0.010
3,10198,0.855,0.150,0.010
4,10198,0.823,0.273,0.010
99,10198,0.990,0.010,0.010
2,10202,0.999,0.150,0.010
3,10202,0.999,0.150,0.010
4,10202,0.832,0.100,0.010
99,10202,0.990,0.010,0.010
2,10226,0.864,0.150,0.010
3,10226,0.682,0.150,0.010
4,10226,0.843,0.100,0.010
2,10227,0.782,0.150,0.010
3,10227,0.799,0.150,0.010
4,10227,0.818,0.100,0.010
99,10227,0.990,0.010,0.010
2,10256,0.855,0.150,0.010
3,10256,0.875,0.150,0.010
4,10256,0.893,0.100,0.010
99,10256,0.990,0.010,0.010
2,10262,0.753,0.420,0.010
3,10262,0.781,0.411,0.010
4,10262,0.822,0.397,0.010
99,10262,0.990,0.010,0.010
2,10273,0.866,0.150,0.010
3,10273,0.882,0.150,0.010
4,10273,0.976,0.100,0.010
99,10273,0.990,0.010,0.010
2,10303,0.770,0.150,0.010
99,10303,0.990,0.010,0.010
2,38858,0.819,0.150,0.010
3,38858,0.812,0.150,0.010
4,38858,0.956,0.229,0.010
2,38859,0.345,0.150,0.010
3,38859,0.417,0.150,0.010
4,38859,0.954,0.100,0.010
99,38859,0.990,0.010,0.010
2,38878,0.600,0.150,0.010
3,38878,0.600,0.150,0.010
99,38878,0.990,0.010,0.010
2,38879,0.873,0.195,0.010
3,38879,0.855,0.150,0.010
4,38879,0.864,0.100,0.010
99,38879,0.990,0.010,0.010
2,38880,0.813,0.150,0.010
3,38880,0.888,0.150,0.010
99,38880,0.990,0.010,0.010
2,38882,0.748,0.150,0.010
3,38882,0.748,0.150,0.010
99,38882,0.990,0.010,0.010
2,38883,0.771,0.150,0.010
99,38883,0.990,0.010,0.010
2,38884,0.628,0.304,0.010
3,38884,0.644,0.295,0.010
4,38884,0.726,0.126,0.010
99,38884,0.990,0.010,0.010
2,38886,0.758,0.150,0.010
3,38886,0.792,0.150,0.010
4,38886,0.874,0.100,0.010
2,38887,0.544,0.150,0.010
3,38887,0.539,0.150,0.010
4,38887,0.756,0.100,0.010
2,38888,0.441,0.150,0.010
3,38888,0.447,0.150,0.010
4,38888,0.726,0.100,0.010
2,38902,0.713,0.275,0.010
3,38902,0.715,0.248,0.010
4,38902,0.946,0.100,0.010
99,38902,0.990,0.010,0.010
2,38903,0.801,0.237,0.010
3,38903,0.829,0.262,0.010
4,38903,0.958,0.192,0.010
99,38903,0.990,0.010,0.010
2,38909,0.745,0.150,0.010
3,38909,0.760,0.150,0.010
4,38909,0.863,0.100,0.010
2,50695,0.733,0.150,0.010
99,50695,0.990,0.010,0.010
2,50841,0.773,0.150,0.010
99,50841,0.990,0.010,0.010
2,50883,0.930,0.150,0.010
3,50883,0.930,0.150,0.010
99,50883,0.990,0.010,0.010
2,50968,0.652,0.150,0.010
3,50968,0.681,0.150,0.010
4,50968,0.903,0.100,0.010
